Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;01/01/2019;0000;23.4;75;923.1;3.6;4;
83781;01/01/2019;1200;26.3;66;926.4;1.6;8;
83781;01/01/2019;1800;28.7;65;924.2;2.8;10;
83781;02/01/2019;0000;22.8;93;926.3;2.5;10;
83781;02/01/2019;1200;25.5;69;927.3;1.6;8;
83781;02/01/2019;1800;31.3;52;924.5;4.1;7;
83781;03/01/2019;0000;25.4;83;925;2;0;
83781;03/01/2019;1200;27;66;924.6;3.3;7;
83781;03/01/2019;1800;32.4;43;922.3;2.3;8;
83781;04/01/2019;0000;21.7;85;924.5;3.6;10;
83781;04/01/2019;1200;24.7;73;925.5;1.3;10;
83781;04/01/2019;1800;22.6;94;927.7;0;10;
83781;05/01/2019;0000;22.4;90;925.2;2.5;10;
83781;05/01/2019;1200;21;89;926.1;3.3;10;
83781;05/01/2019;1800;24;78;924.2;1.6;10;
83781;06/01/2019;0000;23;84;924.7;0;10;
83781;06/01/2019;1200;24.7;72;926.1;1.6;7;
83781;06/01/2019;1800;28.4;58;923.8;2.8;8;
83781;07/01/2019;0000;22.3;95;924.9;1.6;8;
83781;07/01/2019;1200;26;75;925;1.6;2;
83781;07/01/2019;1800;32.1;40;924.1;3.3;7;
83781;08/01/2019;0000;28.3;58;924.4;1.6;6;
83781;08/01/2019;1200;28.4;56;927.1;1.6;8;
83781;08/01/2019;1800;27.3;63;925;3.3;10;
83781;09/01/2019;0000;23.8;75;927.2;1.6;5;
83781;09/01/2019;1200;25.8;75;928.5;1.6;7;
83781;09/01/2019;1800;34;29;924.1;1.6;4;
83781;10/01/2019;0000;25.5;78;926.3;1.6;10;
83781;10/01/2019;1200;27.1;48;925.8;1.6;4;
83781;10/01/2019;1800;30.9;49;923.9;3.3;7;
83781;11/01/2019;0000;27;64;925.7;2.3;10;
83781;11/01/2019;1200;26.6;62;927.6;0.8;8;
83781;11/01/2019;1800;21.2;87;926.3;5.8;10;
83781;12/01/2019;0000;23.1;69;926;1.6;5;
83781;12/01/2019;1200;24.2;81;928;0.8;7;
83781;13/01/2019;0000;24;76;925.6;1.6;4;
83781;13/01/2019;1200;25;73;927.3;1.6;8;
83781;14/01/2019;0000;23.6;77;926;2.1;2;
83781;14/01/2019;1200;25.5;73;926.7;0;8;
83781;15/01/2019;0000;25.2;74;925.7;0;10;
83781;15/01/2019;1200;24.5;70;926.1;1.6;10;
83781;16/01/2019;0000;27.9;64;924.7;0;3;
83781;16/01/2019;1200;24.7;78;927.9;0.8;10;
83781;17/01/2019;0000;21.2;90;926.9;5;10;
83781;17/01/2019;1200;24.4;70;926;0.8;9;
83781;18/01/2019;0000;22.8;94;926.6;1.6;6;
83781;18/01/2019;1200;26;73;926.4;2.1;7;
83781;19/01/2019;0000;24.4;79;925.8;1.6;10;
83781;19/01/2019;1200;26.2;67;924.6;1.6;3;
83781;20/01/2019;0000;25.2;70;923.5;0;10;
83781;20/01/2019;1200;26.2;69;925.3;1.6;5;
83781;21/01/2019;0000;24.4;85;925.7;0;8;
83781;21/01/2019;1200;27;71;925.4;1.6;4;
83781;22/01/2019;0000;27.3;76;926;1.6;3;
83781;22/01/2019;1200;27.5;73;927.9;2;7;
83781;23/01/2019;0000;24.7;83;927.1;3.6;6;
83781;23/01/2019;1200;25.2;80;928;2.5;7;
83781;24/01/2019;0000;24;83;926.6;2.5;10;
83781;24/01/2019;1200;25.8;69;926.4;2.1;6;
83781;25/01/2019;0000;22.3;84;926.1;2;5;
83781;25/01/2019;1200;24.2;79;926.3;2.1;10;
83781;26/01/2019;0000;18.4;89;926.7;3.5;10;
83781;26/01/2019;1200;19.5;94;927.7;2.5;10;
83781;27/01/2019;0000;20;91;925.4;2;2;
83781;27/01/2019;1200;24.2;68;927.7;1.6;3;
83781;28/01/2019;0000;26;64;927.8;0;10;
83781;28/01/2019;1200;26.5;65;929.8;1.6;2;
83781;29/01/2019;0000;27.2;75;927.8;1.6;2;
83781;29/01/2019;1200;28.1;60;929.6;1.6;0;
83781;30/01/2019;0000;25;70;929.9;0;4;
83781;30/01/2019;1200;26.2;67;927.1;0;4;
83781;31/01/2019;0000;22.4;68;925.8;3;0;
83781;31/01/2019;1200;25.6;78;926.3;0;0;
83781;31/01/2019;1800;33.7;31;924.5;2.5;7;
83781;01/02/2019;0000;28.1;42;925.2;2.1;0;
83781;01/02/2019;1200;27.9;49;926.1;1.6;8;
83781;01/02/2019;1800;34.9;24;924.1;2;1;
83781;02/02/2019;0000;26.6;73;925.4;2;0;
83781;02/02/2019;1200;27;62;926.2;2.3;2;
83781;02/02/2019;1800;34.3;35;923;1.6;7;
83781;03/02/2019;0000;27.4;73;924.6;1.6;2;
83781;03/02/2019;1200;26;73;926;2.3;9;
83781;03/02/2019;1800;29.4;61;924.3;2.3;8;
83781;04/02/2019;0000;23.9;79;925.4;3.3;10;
83781;04/02/2019;1200;20.6;93;927.2;2.3;10;
83781;04/02/2019;1800;21.2;79;921.2;5;10;
83781;05/02/2019;0000;18.2;80;927.8;2.5;10;
83781;05/02/2019;1200;20.2;80;927;1.6;10;
83781;05/02/2019;1800;23.1;76;925.4;4.6;10;
83781;06/02/2019;0000;19.4;82;926.3;3.3;10;
83781;06/02/2019;1200;17.2;94;924.8;2.8;10;
83781;06/02/2019;1800;18.2;93;924.8;1.6;10;
83781;07/02/2019;0000;19.5;82;924.7;1.6;10;
83781;07/02/2019;1200;19.7;81;924.3;1.6;10;
83781;07/02/2019;1800;27;54;922;2.3;8;
83781;08/02/2019;0000;21;81;923.4;3;10;
83781;08/02/2019;1200;19.8;88;924.4;0;10;
83781;08/02/2019;1800;29.3;37;922;1.6;8;
83781;09/02/2019;0000;22.2;81;924.1;2.5;0;
83781;09/02/2019;1200;24.7;64;925.2;2.6;0;
83781;09/02/2019;1800;31.6;32;923.3;2.5;5;
83781;10/02/2019;0000;23.7;61;924.2;3.3;0;
83781;10/02/2019;1200;26.5;61;924.5;1.3;6;
83781;10/02/2019;1800;32.2;42;922;3.3;8;
83781;11/02/2019;0000;25.9;73;924;2.6;0;
83781;11/02/2019;1200;26;66;925.7;1.6;7;
83781;11/02/2019;1800;31.9;48;923.3;2.5;8;
83781;12/02/2019;0000;29.5;57;923.3;1.6;2;
83781;12/02/2019;1200;24.3;78;925.4;2;10;
83781;12/02/2019;1800;27.2;62;923.6;3.3;10;
83781;13/02/2019;0000;22;92;926.5;4;10;
83781;13/02/2019;1200;20;87;916.4;3;10;
83781;13/02/2019;1800;20.4;91;926.4;3;10;
83781;14/02/2019;0000;19;80;927.7;1.6;10;
83781;14/02/2019;1200;20.7;72;927.9;2.5;10;
83781;14/02/2019;1800;24;73;927;2.5;10;
83781;15/02/2019;0000;20.6;80;925.9;3.3;10;
83781;15/02/2019;1200;20;87;923.8;1.6;10;
83781;15/02/2019;1800;21;94;920.5;3;10;
83781;16/02/2019;0000;20;95;920.2;4.1;10;
83781;16/02/2019;1200;20;97;920.3;2;10;
83781;16/02/2019;1800;24.4;82;919.8;2.1;10;
83781;17/02/2019;0000;20.2;96;920.4;2.5;10;
83781;17/02/2019;1200;20.8;94;920.8;2;10;
83781;17/02/2019;1800;23.2;78;921.8;3;10;
83781;18/02/2019;0000;21.5;89;922.5;0;1;
83781;18/02/2019;1200;23.5;78;927.5;1.6;10;
83781;19/02/2019;0000;24.2;84;924;2.5;10;
83781;19/02/2019;1200;24;75;925.2;4.1;5;
83781;20/02/2019;0000;26.5;62;921.7;0;6;
83781;20/02/2019;1200;25;73;926.8;2.5;5;
83781;21/02/2019;0000;22.5;81;924.2;3.3;10;
83781;21/02/2019;1200;23.2;84;926.3;0;3;
83781;22/02/2019;0000;20.8;91;926.4;0;7;
83781;22/02/2019;1200;23.5;85;928.1;0;7;
83781;23/02/2019;0000;22;80;927.1;2.5;10;
83781;23/02/2019;1200;25;75;925.6;0;1;
83781;24/02/2019;0000;24.8;71;923.9;0;10;
83781;24/02/2019;1200;27;69;924;1.6;7;
83781;25/02/2019;0000;25;70;923.5;0;7;
83781;25/02/2019;1200;25.4;65;923.5;3;10;
83781;26/02/2019;0000;20.8;88;922;3.3;10;
83781;26/02/2019;1200;19.5;98;925.3;3;10;
83781;27/02/2019;0000;20.8;87;925.1;1.6;10;
83781;27/02/2019;1200;21.8;75;924.8;1.3;10;
83781;28/02/2019;0000;22.5;88;924.5;3.3;10;
83781;28/02/2019;1200;21.2;88;925.2;1.3;10;
83781;28/02/2019;1800;22;95;924.6;3;10;
83781;01/03/2019;0000;20.5;96;924.6;3.6;10;
83781;01/03/2019;1200;21.8;88;926.2;1.6;10;
83781;01/03/2019;1800;22.6;87;924.6;1.6;10;
83781;02/03/2019;0000;21.4;89;925.8;1.6;10;
83781;02/03/2019;1200;21.5;89;927.6;0;10;
83781;02/03/2019;1800;25.8;68;924.3;1.6;10;
83781;03/03/2019;0000;19.8;92;926;2.5;10;
83781;03/03/2019;1200;23.1;81;926.8;1.1;9;
83781;03/03/2019;1800;25.7;66;924.7;1.3;10;
83781;04/03/2019;0000;21.7;90;926.8;1.6;10;
83781;04/03/2019;1200;22.5;80;927.9;2.5;10;
83781;04/03/2019;1800;28.3;54;926.2;3.3;9;
83781;05/03/2019;0000;22.2;78;927.9;0;6;
83781;05/03/2019;1200;24;71;929.4;0.8;9;
83781;05/03/2019;1800;30.1;50;925.8;2.8;7;
83781;06/03/2019;0000;21.6;92;927.9;0.6;10;
83781;06/03/2019;1200;25.4;73;929.4;1.6;3;
83781;06/03/2019;1800;30.9;45;925.5;2.6;8;
83781;07/03/2019;0000;23.2;78;926.9;1.6;10;
83781;07/03/2019;1200;25;72;928.7;1.6;8;
83781;07/03/2019;1800;21;93;926.5;5;10;
83781;08/03/2019;0000;21.7;88;927.7;3.3;10;
83781;08/03/2019;1200;24;72;927.9;3.3;10;
83781;08/03/2019;1800;29.7;53;925.8;3;10;
83781;09/03/2019;0000;27.3;64;925.5;0.8;2;
83781;09/03/2019;1200;27.4;70;926.7;0;6;
83781;09/03/2019;1800;33;39;923.4;1.6;6;
83781;10/03/2019;0000;22.7;88;925.8;1.6;10;
83781;10/03/2019;1200;23;84;927.2;1.6;8;
83781;10/03/2019;1800;26;71;926.1;5;8;
83781;11/03/2019;0000;21.5;95;926.9;3;10;
83781;11/03/2019;1200;21.8;81;928.2;3;10;
83781;11/03/2019;1800;23.4;78;927;1.6;10;
83781;12/03/2019;0000;21;91;927.8;1.6;10;
83781;12/03/2019;1200;24;76;926.8;2.3;6;
83781;12/03/2019;1800;28.9;53;923.7;2.5;8;
83781;13/03/2019;0000;22;89;926.1;1.6;10;
83781;13/03/2019;1200;24;77;925.3;2.5;10;
83781;13/03/2019;1800;28.1;58;928.1;4.6;10;
83781;14/03/2019;0000;24.7;71;923.7;1.6;6;
83781;14/03/2019;1200;23;84;924.8;2.6;10;
83781;14/03/2019;1800;29;55;922.8;2.6;10;
83781;15/03/2019;0000;21.2;88;925.3;3;10;
83781;15/03/2019;1200;23;82;926.9;0;10;
83781;15/03/2019;1800;27;67;923.7;3.3;10;
83781;16/03/2019;0000;22.3;88;926;2.5;10;
83781;16/03/2019;1200;23.5;79;926;1.6;10;
83781;16/03/2019;1800;27.1;68;923.9;2;10;
83781;17/03/2019;0000;23.8;83;926.8;3;10;
83781;17/03/2019;1200;23.4;82;925.5;2.6;10;
83781;17/03/2019;1800;22.8;91;922.4;1.5;10;
83781;18/03/2019;0000;22.3;92;924.9;0.8;10;
83781;18/03/2019;1200;24;81;924.9;1.8;8;
83781;18/03/2019;1800;29.1;57;921.8;3.3;8;
