Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;01/01/1980;0000;20.9;94;918.5;1.6;10;
83781;01/01/1980;1200;15.4;92;920.8;1.6;10;
83781;01/01/1980;1800;19.4;78;919.7;1.5;10;
83781;02/01/1980;0000;16.9;90;921.7;4.3;10;
83781;02/01/1980;1200;17.6;77;923.1;3;4;
83781;02/01/1980;1800;21.8;63;922.9;4.6;10;
83781;03/01/1980;0000;17.6;85;923.8;4.6;8;
83781;03/01/1980;1200;18.2;71;924.6;2.5;6;
83781;03/01/1980;1800;24.4;48;923.4;4.3;2;
83781;04/01/1980;0000;17.8;78;925.1;2.3;0;
83781;04/01/1980;1200;14.6;95;926;2;0;
83781;04/01/1980;1800;28.4;41;923.9;1.6;2;
83781;05/01/1980;0000;18.3;76;926.6;3.3;0;
83781;05/01/1980;1200;18.7;78;928.4;4.1;8;
83781;05/01/1980;1800;26.4;59;927.1;2;5;
83781;06/01/1980;0000;18.8;83;927.7;5.1;6;
83781;06/01/1980;1200;19.9;80;927.4;1.8;0;
83781;06/01/1980;1800;29;51;924.3;2.5;8;
83781;07/01/1980;0000;21.5;85;924.5;2.8;2;
83781;07/01/1980;1200;21.6;78;925.5;1.6;10;
83781;07/01/1980;1800;20.8;90;925.4;3.6;10;
83781;08/01/1980;0000;20.3;94;925.8;2.5;10;
83781;08/01/1980;1200;21.6;83;926.4;3;10;
83781;08/01/1980;1800;26.4;57;923.6;5.3;10;
83781;09/01/1980;0000;23.8;79;924.2;4.8;10;
83781;09/01/1980;1200;22.7;77;924.4;4.6;10;
83781;09/01/1980;1800;23.4;82;920.9;2.1;10;
83781;10/01/1980;0000;20.4;93;922.6;3.8;10;
83781;10/01/1980;1200;22.8;80;921.6;5.8;10;
83781;10/01/1980;1800;24.9;76;919.5;1;9;
83781;11/01/1980;0000;22;86;920.2;3;6;
83781;11/01/1980;1200;23.2;73;921.4;5.6;6;
83781;11/01/1980;1800;23.6;82;919.6;2.4;10;
83781;12/01/1980;0000;19.5;86;921.4;3.3;10;
83781;12/01/1980;1200;21;86;921.3;2.5;10;
83781;12/01/1980;1800;22.8;75;919.9;5.3;10;
83781;13/01/1980;0000;19.2;83;922.1;6.6;10;
83781;13/01/1980;1200;19.9;84;923.1;4.5;10;
83781;13/01/1980;1800;21.8;76;921.9;5.8;10;
83781;14/01/1980;0000;19;90;925;4.3;10;
83781;14/01/1980;1200;21;70;926.6;6.6;7;
83781;14/01/1980;1800;22.4;66;925.1;5;10;
83781;15/01/1980;0000;18.5;84;928.1;3.8;10;
83781;15/01/1980;1200;20.2;82;927.9;6.3;10;
83781;15/01/1980;1800;22;78;925.7;5.5;10;
83781;16/01/1980;0000;18.7;86;926;4.6;8;
83781;16/01/1980;1200;21;77;925.7;3.6;10;
83781;16/01/1980;1800;24.4;73;921.5;2.3;10;
83781;17/01/1980;0000;21.1;87;924.6;3.5;10;
83781;17/01/1980;1200;22.5;81;924.4;3.1;5;
83781;17/01/1980;1800;21.4;91;922.7;1.6;10;
83781;18/01/1980;0000;20.7;93;922.8;3.5;10;
83781;18/01/1980;1200;20.9;91;923.2;4.1;10;
83781;18/01/1980;1800;22.2;86;922.3;5.8;10;
83781;19/01/1980;0000;21;91;922.3;0;10;
83781;19/01/1980;1200;21.2;84;923.6;5.6;10;
83781;19/01/1980;1800;25.1;71;922.2;5.8;10;
